network_id,community_user,community_referenced,id,original_tweet,translated_text,model_score,negativity_score_reviewer1,negativity_score_reviewer2,negativity_score_reviewer3
cop27,1,0,1593182165612781570,"🌱The #GreenTransition is an omnipresent force throughout the corporate world. In its second week, the #COP27 looks beyond Government actors to secure progress towards the climate targets issued at Paris in 2015.  Read our latest piece on the topic👇  @SDGoals @UN #FutureOfWork",The is an omnipresent force throughout the corporate world In its second week the looks beyond Government actors to secure progress towards the climate targets issued at Paris in  Read our latest piece on the topic,0.0092595508322119,0.1,0.1,0.1
cop27,1,0,1587711814690693123,"@AlboMP @theprojecttv The clown is too busy to go to COP27, but has all the time in the world for this. I wonder, Will they grill him for not going? Like they badgered his predecessor  Will they ask him about the ISIS brides?  Will they ask him what he is doing to help with the rising cost of living?",The clown is too busy to go to COP but has all the time in the world for this I wonder Will they grill him for not going Like they badgered his predecessor Will they ask him about the ISIS brides Will they ask him what he is doing to help with the rising cost of living,0.750117897987366,0.4,0.4,0.9
refugees,6,1,1136896204850094080,"@barobertson111 While in theMurray-Darling, wheat is being displaced from prime irrigated land by cotton. Elsewhere, competition for productive soil from other grains and crops. So there may be a bit more to it than ‘climate’. To a 🔨... *RH graph is # water applications. ",While in theMurrayDarling wheat is being displaced from prime irrigated land by cotton Elsewhere competition for productive soil from other grains and crops So there may be a bit more to it than ‘climate’ To a  RH graph is  water applications,0.362571537494659,0.2,0.3,0.4
cop27,1,0,1584117198779346944,"Going to the roots of evil: if we want to tackle the #ClimateCrisis seriously we need to stop its enablers, aka banks &amp; insurers. @Europarl_EN could pass a law that will make oil&amp;gas projects too expensive and risky to bankroll. The vote is coming: ",Going to the roots of evil if we want to tackle the seriously we need to stop its enablers aka banks and insurers could pass a law that will make oilampgas projects too expensive and risky to bankroll The vote is coming,0.810458064079285,0.4,0.7,0.7
ipcc,1,0,1637936313897984000,@lilifuhr @antonioguterres @IPCC_CH @ciel_tweets @fossiltreaty It is indeed unequivocal that rising CO2 has added a paltry 2.5 W/m2 of infrared heat since the 1800s.  But it is only hypothetical that warming over the past century is all due to the CO2. There is only a correlation between CO2 and temperature change  ,It is indeed unequivocal that rising CO has added a paltry  Wm of infrared heat since the s But it is only hypothetical that warming over the past century is all due to the CO There is only a correlation between CO and temperature change,0.0395176596939563,0.2,0.3,0.3
ipcc,0,1,1639669192512208896,@Jan_D_R @hangingnoodles @RogerPielkeJr My focus is very explicitly on cutting emissions inline with our Paris temperature &amp; equity commitments - guided by IPCC’s carbon budgets. For a bit more on this see:  &amp;  Others are more qualified to comment on the impacts issue.,My focus is very explicitly on cutting emissions inline with our Paris temperature and equity commitments  guided by IPCC’s carbon budgets For a bit more on this see and Others are more qualified to comment on the impacts issue,0.0863872542977333,0.1,0.1,0
ipcc,1,0,1637513079662444544,"@6lennybravo @MaxFichtner @MedBennett @GZzyzyx @MikeDel21893959 @ejwwest @Pylon54 @JMac0987 @CanadianSence @aSinister @AltYelloNatPark @jsj11113 @ChrisBBacon3 @ponycar06 @_Ratzz_ @LouisCy72344053 @Climatehope2 @TheDisproof @hardtimehardta1 @Michael_D_Crow @d_e_mol @Canadadb @IngersolRobert @jongolding @nomada_games @no2wind @Barrtecforever @markcojuangco @Narvuntien @InnovationStolt @JoBloat @BrownTawny @JamesDelingpole @SJohn73794113 @lucaberta @Barbarajdurkin @FehringerMartin @TrevorDKidd1 @messengitis @jonsaxon67 @10mm_404 @DawnTJ90 @Albertarocksit @PlagueofProgs @ClimateCatastr3 Notwithstanding the fact Max hasn't provided proof of which he lamented you bring up things not pertinent to Mr. Fortier's 'frightening' prediction. Re ARs: I recall that time the ipcc, that irresolute body which depends on conditional language to subtly push the Narrative...🤔 ",Notwithstanding the fact Max hasnt provided proof of which he lamented you bring up things not pertinent to Mr Fortiers frightening prediction Re ARs I recall that time the ipcc that irresolute body which depends on conditional language to subtly push the Narrative,0.350808769464493,0.3,0.6,0.7
ipcc,0,1,1640052209051369472,"@shafercw @curryja @SenWhitehouse It is an established fact that human-induced greenhouse gas emissions have led to an increased frequency and/or intensity of some weather and climate extremes since pre-industrial time, in particular for temperature extremes.  ",It is an established fact that humaninduced greenhouse gas emissions have led to an increased frequency andor intensity of some weather and climate extremes since preindustrial time in particular for temperature extremes ,0.359795093536377,0.2,0.1,0.1
ipcc,1,0,1639916799796867074,"@joe51du @DawnTJ90 @NOAA @UNEP @UNFCCC @NASAGISS @rahmstorf @CarbonBrief @IPCC_CH @GeraldKutney @PIK_Climate @uniofeastanglia @hausfath @KHayhoe Do enlighten, what does *not statistically significant mean then? Maybe that it was an observational study containing a small group and not a RCT/Double-blind trial in other words junk data? Every medical board probably recommends mask wearing because WHO hasn't told them not to?",Do enlighten what does not statistically significant mean then Maybe that it was an observational study containing a small group and not a RCTDoubleblind trial in other words junk data Every medical board probably recommends mask wearing because WHO hasnt told them not to,0.35332977771759,0.7,0.4,0.7
ipcc,0,1,1637889338150101006,"@TimeSinkDone @MatthewWielicki As the IPCC made clear, it was a simple copy edit error. It should have been this paper: Resplandy et al (2018) Revision of global carbon fluxes based on a reassessment of oceanic and riverine carbon transport.",As the IPCC made clear it was a simple copy edit error It should have been this paper Resplandy et al  Revision of global carbon fluxes based on a reassessment of oceanic and riverine carbon transport,0.250793397426605,0.1,0.1,0.1
ipcc,0,1,1637634166891347968,"@McRhal @johnnyBgoldB @MatthewWielicki Have anything that more recent than 2010. I mean 13 years. And this dude in your meme doesn’t speak for the thousands of scientists contributing to the IPCC. Also, your meme doesn’t refute the science. If it’s true at all. Focus.",Have anything that more recent than  I mean  years And this dude in your meme doesn’t speak for the thousands of scientists contributing to the IPCC Also your meme doesn’t refute the science If it’s true at all Focus,0.435369729995727,0.1,0.6,0.3
refugees,6,1,1567849753358254082,@Wallisbadgerson @ALefty123 @benmooreau @MikeJColl @Lo_VVriter @OzzmanOsgood @bob_j_frozen @bennoba @john_carins @Andrewemcameron @aSinister @MarcusAgricola @AndryGiles @Ceist8 @insane_voice @Spencerfletch0 @Veritatem2021 @mac_an_ghoill @DocSnow1 @WeRone777 @JackJsherebkin @JJJungleJim @glinch72 @realJohnJHoward @USNA_73 @peblackstock @BernaB_2013 @markinkorea @talipes @ZombiePiano @cbeckj @Frankd06830 @LesterDent @toddynd @KathyGrants @AlexVickeryHowe @Alfred_StatesX @goingglocal @BarnhartDooie @RstrixxX @Ecotainment_YT @berry_hardman @FLastrade @njbtweet @SageThinker99 @ronkonoma @Stephen90045069 @choosefreedomf1 @IceAge2150 @ejwwest 5.9Mka event aridification destroyed deserts ending neolithic subboreal. 5 centuries a ferocious climate cold followed unknown modern mild climates of today. Changing human migration patterns forever such global freeze was once past too common but now forgotten End of part 38,Mka event aridification destroyed deserts ending neolithic subboreal  centuries a ferocious climate cold followed unknown modern mild climates of today Changing human migration patterns forever such global freeze was once past too common but now forgotten End of part ,0.588197767734528,0.4,0.5,0.3
donana,0,1,1087845563813584896,@Firehunter31 @f_artemisan @WWF Varias dudas sobre su tuit: 1) ¿Fue o no WWF fundada por cazadores? 2) La caza no vive de subvenciones ¿y WWF? Igual en eso se parecen menos.  3) ¿Sabría decirme el motivo por el que el Lince Ibérico no se recupera en Doñana y sí en terrenos acotados de caza? Gracias y saludos.,"Several doubts about your tweet Wwf founded by hunters the hunters does not live on subsidies And wwf the same in that they look like less, would you know how to tell me the reason why the Iberian lynx is not recovered in Doñana and yes in limited hunting land thank you and greetings and greetings",0.564981997013092,0.3,0.7,0.4
donana,0,1,1651502740550430723,@Manolo_GA @RamonFPM @24htve @ParlamentoAnd ¿Se va a utilizar agua superficial en mayor medida? ¿Eso afectaría a los acuíferos de Doñana? ¿No necesitarían aprobación por parte de la Confederación Hidrográfica para obtener ese agua superficial? ¿Usted no cree que el principal problema histórico son los pozos ilegales?,"Will superficial water be used to a greater extent. Will that affect Doñana's aquifers, would they not need approval by the Hydrographic Confederation to obtain that superficial water, do you not believe that the main historical problem is illegal wells",0.40954777598381,0.3,0.4,0.3
refugees,1,6,1035947462882512896,"@TechnicalBard @RobynWins111 @BlairKing_ca @sarmcbride @charlesadler @TransMtn @jkenney Wrong. “On this, the Oslo-based Norwegian Refugee Council (NRC) reports that in 2015 only, more than 19.2 million people fled disasters in 113 countries. “Disasters displace three to ten times more people than conflict and war worldwide.” ",Wrong “On this the Oslobased Norwegian Refugee Council NRC reports that in  only more than  million people fled disasters in  countries “Disasters displace three to ten times more people than conflict and war worldwide”,0.812225699424744,0.4,0.7,0.4
donana,1,0,1115565063551762432,"@GuisadoPepe @lgil_SEO @birdextremadura @aestahoraex @WWFespana @SEO_BirdLife @FelipeGlezSEO @NicolasLopezSEO @DONANA_SEO @seo_mlg @RMarti_SEO @odilerf @EFEverde @BirdCenter_ Aquí en Huelva capital, en parque los olivos  como en el parque Moret, con este ya sería  dos años que llevamos viéndola, pero no solo a ellas, sino también a Rabilargo, cigüeñas y Garzas. Eso sin contar con las Gaviotas y los Mirlos que conviven ya todo el año.",Here in Huelva Capital in Los Olivos Park as in the Moret Park with this it would be two years that we have been seeing it but not only to them but also to rabilargo stork and herons that without counting on the seagulls and the blackbirds that live together all year,0.012569410726428,0.1,0.3,0
cop27,1,0,1586367586777841666,"@Ecotainment_YT @JJJungleJim @Spencerfletch0 @SoCalBohoGal @Veritatem2021 @JackJsherebkin @goingglocal @CathSomie @HikesTwo @aSinister @glinch72 @WeRone777 @ozzorro1 @ALefty123 @talipes @BernaB_2013 @B_Bolshevik100 @BarnhartDooie @Alfred_StatesX @ZombiePiano @Wallisbadgerson @RealMikeDelta1 @insane_voice @Opportu727272 @jpgcrowley @SeekerTheGreat1 @Andrewemcameron @Tate45807585 @MikeDel21893959 @benmooreau @Genterline @GodBlessElon @DocSnow1 @AndryGiles @CstmrDisservice @njbtweet @AlexVickeryHowe @Stephen90045069 @ShaMikaWhoSeeks @BBfanning @JohannesTuyl @mac_an_ghoill @ejwwest @realJohnJHoward @USNA_73 @peblackstock @markinkorea @cbeckj @Frankd06830 @LesterDent The scientific consensus doesn’t say human-caused warming is more than tiny. Under 1% say it’s at least half of the warming, a fraction of 1°. No one credible calls it a crisis.  #ClimateAction has a negligibly tiny effect on temperature. Verifiable facts: ",The scientific consensus doesn’t say humancaused warming is more than tiny Under  say it’s at least half of the warming a fraction of ° No one credible calls it a crisis has a negligibly tiny effect on temperature Verifiable facts,0.492865204811096,0.3,0.8,0.7
ipcc,1,0,1638287606998790147,@uksciencechief @IPCC_CH Do you really think we are going to listen to your virtue signaling Patrick. Ppl are dying and injured from your injections not your trying to terrify ppl with total bull shit again. We are not buying it get the real scientist out here with the real evidence.,Do you really think we are going to listen to your virtue signaling Patrick Ppl are dying and injured from your injections not your trying to terrify ppl with total bull shit again We are not buying it get the real scientist out here with the real evidence,0.961976587772369,0.6,0.9,0.9
donana,1,0,1646251125228687365,@nbarnes68 @ElMiradorCSR @UPAANDALUCIA @Joseluislosa @acsantana64 Aparte de la aberración de esa Ley de la Junta de Andalucía; lo que va a provocar es un rechazo de miles de consumidores de toda Europa a las fresas y frutos rojos de Huelva  @La_COAG @UPA_Federal  Desde luego muchos consumidores lo tenemos claro; si se toca Doñana.. Boicot total,"Apart from the aberration of that law of the Junta de Andalucía, what will cause is a rejection of thousands of consumers from all over Europe to the strawberries and red fruits of Huelva, of course, many consumers have it clear if Doñana Boicot Total is played",0.652111530303955,0.6,0.8,0.8
donana,0,1,1650626472258797568,"@i_ameztoy @CopernicusEU a ver analfabeto, ha sido el PSOE quien se ha cargado Doñana en los 40 años que ha gobernado Andalucia, y ahora vienes tú a decir que es culpa de Juanma Moreno que lleva sólo desde 2018, vete con el cuento a otro sitio",To see illiterate it has been the PSOE who has loaded Doñana in the years that Andalucia has governed and now you come to say that it is Juanma Moreno's fault that he has only since go with the story to another place,0.692277431488037,0.6,0.8,1
ipcc,0,1,1636897316320989184,"@MalacoDeed @aSinister @DanCady @MatthewWielicki @FredHikes @Edubwa1 @GrandMoffTano @What_Doubelieve @25_cycle @hfjohnsen @bestpikelet @DecimatedNzl @desertphile @GeraldKutney Actually, I don't know anyone trying to make those claims. The IPCC certainly doesn't. Koonin set up a strawman argument to knock down. He actually doesn't do climate science.    DeSmog is a good starting point for the more notorious denialists.  ",Actually I dont know anyone trying to make those claims The IPCC certainly doesnt Koonin set up a strawman argument to knock down He actually doesnt do climate science DeSmog is a good starting point for the more notorious denialists,0.728540301322937,0.5,0.8,0.3
donana,0,1,1651913412824145921,@faverdugo @RafaelGarciaLAF @VSinkevicius @Ibangarciadb @RamonFPM @Teresaribera @ManfredWeber @IratxeGarper @DolorsMM @EU_Commission Durante 40 años el gobierno socialista de la junta permitió los pozos ilegales y dio licencia para la urbanización en matalascañas sin preocuparse de reclamar las infraestructuras hidráulicas necesarias para Doñana y su entorno,For years the socialist government of the Board allowed illegal wells and gave a license for urbanization in Matalascañas without worrying about claiming the necessary hydraulic infrastructure for Doñana and its surroundings,0.432188183069229,0.5,0.6,0.6
refugees,6,1,1431952322922311681,@Spencerfletch0 @ozzorro1 @Veritatem2021 @FChecker76 @Kenneth72712993 @DocSnow1 @JamesShorthous3 @aSinister @MikeDel21893959 @OzzmanOsgood @roger_clague @glinch72 @flyonthewall182 @ejwwest @TomPlesier @BJChippindale @Robert76907841 @JR4_Truth @njbtweet @jefftonna1 @JohnDublin10 @Ceist8 @fagandr1 @DawnTJ90 @DaveWRose @gjcats @ZombiePiano @Jaisans @JJJungleJim @drochir_thonnuk @gregchoat @Neilcharles1450 @BarbaraGirouard @cjtjgeol @SRT298 @insane_voice @ianrowley677 @BradPKeyes @Data79504085 @GeminiiAussie @BBfanning @AndryGiles @crynbrian @SoCalBohoGal @NeatCraftsmen @captcorbo @thewokenpc @mtnman0038 @BaerbelW @Agwmorons You are fear mongering and you can’t prove the correlation. Droughts and floods have plagued humans since before recorded time. It is postulated by scientists that humans have been displaced by climate change for millennia.  Dialing up the fear is the tool of the authoritarian ,You are fear mongering and you can’t prove the correlation Droughts and floods have plagued humans since before recorded time It is postulated by scientists that humans have been displaced by climate change for millennia Dialing up the fear is the tool of the authoritarian,0.782605350017548,0.7,0.7,0.9
ipcc,1,0,1638272478727360515,"@uksciencechief @IPCC_CH As soon as it is said that the science is clear, it should translate to, the propaganda is clear. The ethos of science should be to continually question &amp; reassess &amp;, as always, in this sad world run by greed &amp; oppression, follow the money - that path is usually settled 💰💰💰",As soon as it is said that the science is clear it should translate to the propaganda is clear The ethos of science should be to continually question and reassess and as always in this sad world run by greed and oppression follow the money  that path is usually settled,0.40012139081955,0.5,0.8,0.7
cop27,0,1,1586795411032997889,"@chbstone2 @FChecker76 @Genterline @glinch72 @WeRone777 @GreyFoxRob @Wallisbadgerson @ozzorro1 @goingglocal @ZombiePiano @CathSomie @njbtweet @ALefty123 @Spencerfletch0 @WomanWhoHasAll @SoCalBohoGal @JackJsherebkin @aSinister @Ecotainment_YT @JJJungleJim @talipes @BernaB_2013 @BarnhartDooie @Alfred_StatesX @Opportu727272 @SeekerTheGreat1 @Andrewemcameron @Tate45807585 @benmooreau @GodBlessElon @DocSnow1 @AndryGiles @CstmrDisservice @AlexVickeryHowe @Stephen90045069 @ShaMikaWhoSeeks @BBfanning @JohannesTuyl @mac_an_ghoill @ejwwest @realJohnJHoward @USNA_73 @peblackstock @markinkorea @cbeckj Or you could acknowledge #ClimateCrisis to develop scientific / progressive plans that benefit humanity. As many do.  The basis for not doing so would have to be some reasoned argument that there is no such crisis, not mere distaste for people who argue there is.",Or you could acknowledge to develop scientific  progressive plans that benefit humanity As many do The basis for not doing so would have to be some reasoned argument that there is no such crisis not mere distaste for people who argue there is,0.289998143911362,0.5,0.3,0.2
cop27,0,1,1582641690145218560,"@1goodtern @sammy4723 @GVDBossche A tale of two events in Berlin yesterday. This on climate migration and #LossAndDamage was great, with strong female panelists and a focus on feminist FP. I added some Covid remarks (had to leave early) but complexity is too high for them to register. 23/k ",A tale of two events in Berlin yesterday This on climate migration and was great with strong female panelists and a focus on feminist FP I added some Covid remarks had to leave early but complexity is too high for them to register k,0.031848844140768,0.2,0.6,0.3
ipcc,0,1,1637829654387064835,"@dmawlf @useful_eater @UN @antonioguterres @IPCC_CH In the 1980’s the UN said that if the global warming trend is not reversed then entire nations could be wiped off the map by rising sea levels.   That was, and is, true.",In the ’s the UN said that if the global warming trend is not reversed then entire nations could be wiped off the map by rising sea levels That was and is true,0.332961231470108,0.1,0.7,0.2
ipcc,0,1,1640025298766012419,"@AndyNTyne @cmcateer3 @VictorJennpaul @latimeralder Why denialists can'tcite research: At the global scale, and also at the regional scale to some extent, many of the changes in extremes are a direct consequence of enhanced radiative forcing, ...  ",Why denialists cantcite research At the global scale and also at the regional scale to some extent many of the changes in extremes are a direct consequence of enhanced radiative forcing ,0.64307314157486,0.4,0.8,0.4
ipcc,0,1,1637728915513802754,"@M17828764Marion @ed_hawkins @IPCC_CH Abstract Our study unambiguously shows one-way causality between the total Greenhouse Gases and GMTA. Specifically, it is confirmed that the former, especially CO2, are the main causal drivers of the recent warming",Abstract Our study unambiguously shows oneway causality between the total Greenhouse Gases and GMTA Specifically it is confirmed that the former especially CO are the main causal drivers of the recent warming,0.0322030894458293,0.1,0.2,0
donana,0,1,1376463309730422787,"@Elgrinc53183318 @CasaReal @MAECgob @EmbEspAndorra @GovernAndorra @CE_MariaMoliner El Rey no se va de vacaciones. Tiene la agenda muy apretada si no lo sabes es pq ni te molestas.  Otros andan por Doñana con todo su séquito, comiendo jamoncito, como si no pasará nada. Pero que me estás contando. Quien se beneficia más de la herencia franquista?",The king does not go on vacation has the agenda very tight if you do not know is because you do not bother you from Doñana with all her entourage eating Jamoncito as if nothing will happen but that you are telling me who benefits more from the Francoist inheritance,0.46889528632164,0.7,0.8,0.8
donana,1,0,1490613117998481410,"Esta mañana @WWFespana participa en Jornadas sobre modificación Plan d la 🍓 q propone @ppandaluz y @JuanMa_Moreno y q amnistía a ls ilegales d Doñana y pone en riesgo la imagen d la 🍓 d Huelva en toda Europa, q es donde se consume. Gracias x invitación a @Podemos_AND ",This morning he participates in days on Modification Plan D The Q proposes and and that amnesty to illegal d doñana and puts at risk the image of the D Huelva throughout Europe which is where it is consumed thanks for invitation to,0.138126745820045,0.8,0.7,0.6
